"","plot","date","month","year","month.txt","lat","lon","spei"
"1","A218","1/1/1901",1,1901,"Jan",64.54661,-146.82771,-0.029123826
"2","C138","1/1/1901",1,1901,"Jan",65.20908,-147.21226,0.593127012
"3","D012","1/1/1901",1,1901,"Jan",64.29331,-146.44898,0.402760416
"4","D017","1/1/1901",1,1901,"Jan",64.27177,-146.18503,0.689092934
"5","D022","1/1/1901",1,1901,"Jan",64.20643,-145.85593,0.689092934
"6","D953","1/1/1901",1,1901,"Jan",63.47646,-143.83333,0.504680216
"7","F107","1/1/1901",1,1901,"Jan",65.01387,-147.50263,0.301831454
"8","F109","1/1/1901",1,1901,"Jan",65.05546,-147.37663,0.301831454
"9","H039","1/1/1901",1,1901,"Jan",64.39926,-146.88292,-0.029123826
"10","L135","1/1/1901",1,1901,"Jan",65.4746,-148.29583,0.00923958
"11","M002","1/1/1901",1,1901,"Jan",64.93764,-148.0893,-0.025111953
"12","M129","1/1/1901",1,1901,"Jan",64.90838,-148.20571,-0.025111953
"13","M317","1/1/1901",1,1901,"Jan",64.87877,-148.34483,0.250412732
"14","N117","1/1/1901",1,1901,"Jan",64.59141,-149.03287,0.201399758
"15","N088","1/1/1901",1,1901,"Jan",64.64441,-148.82215,0.201399758
"16","N130","1/1/1901",1,1901,"Jan",64.65214,-148.70134,-0.093956187
"17","N059","1/1/1901",1,1901,"Jan",64.62197,-149.04625,0.201399758
"18","N307","1/1/1901",1,1901,"Jan",64.4847,-149.07802,0.201399758
"19","N424","1/1/1901",1,1901,"Jan",64.70219,-148.65499,-0.093956187
"20","S244","1/1/1901",1,1901,"Jan",64.52528,-146.96903,-0.029123826
"21","S157","1/1/1901",1,1901,"Jan",63.68814,-144.48096,0.906653523
"22","T105","1/1/1901",1,1901,"Jan",64.84778,-147.034,0.593127012
"23","BCEF","1/1/1901",1,1901,"Jan",64.742956,-148.316347,-0.093956187
"24","BD3.5","1/1/1901",1,1901,"Jan",65.07541,-150.32988,0.093041658
"25","CPCR","1/1/1901",1,1901,"Jan",65.184791,-147.388939,0.301831454
