"","series_name","plot","tree_number","year","d13C","lab_notes"
"1","A218t23","A218",23,1983,-27.19232719,NA
"2","A218t23","A218",23,1984,-27.50649164,NA
"3","A218t23","A218",23,1985,-28.08431432,NA
"4","A218t23","A218",23,1986,-27.97972746,NA
"5","A218t23","A218",23,1987,-27.06768729,NA
"6","A218t23","A218",23,1988,-28.00135568,NA
"7","A218t23","A218",23,1989,-27.93457276,NA
"8","A218t23","A218",23,1990,-27.53530906,NA
"9","A218t23","A218",23,1991,-28.06757315,NA
"10","A218t23","A218",23,1992,-28.56397196,NA
"11","A218t23","A218",23,1993,-27.50362403,NA
"12","A218t23","A218",23,1994,-28.46530207,NA
"13","A218t23","A218",23,1995,-28.51677762,NA
"14","A218t23","A218",23,1996,-28.96180185,NA
"15","A218t23","A218",23,1997,-27.38564829,NA
"16","A218t23","A218",23,1998,-29.14637877,NA
"17","A218t23","A218",23,1999,-26.95805183,NA
"18","A218t23","A218",23,2000,-28.5472106,NA
"19","A218t29","A218",29,1981,-27.39219127,NA
"20","A218t29","A218",29,1982,-26.08498687,NA
"21","A218t29","A218",29,1983,-27.23503837,NA
"22","A218t29","A218",29,1984,-28.13887961,NA
"23","A218t29","A218",29,1985,-27.44817018,NA
"24","A218t29","A218",29,1986,-27.62349806,NA
"25","A218t29","A218",29,1987,-26.87269006,NA
"26","A218t29","A218",29,1988,-28.01886423,NA
"27","A218t29","A218",29,1989,-27.83608462,NA
"28","A218t29","A218",29,1990,-27.36250549,NA
"29","A218t29","A218",29,1991,-27.38716287,NA
"30","A218t29","A218",29,1992,-27.56303599,NA
"31","A218t29","A218",29,1993,-27.39479635,NA
"32","A218t29","A218",29,1994,-28.81044474,NA
"33","A218t29","A218",29,1995,-28.40308309,NA
"34","A218t29","A218",29,1996,-27.36735215,NA
"35","A218t29","A218",29,1997,-27.05280401,NA
"36","A218t29","A218",29,1998,-27.34311886,NA
"37","A218t29","A218",29,1999,-27.60338442,NA
"38","A218t29","A218",29,2000,-28.04588435,NA
"39","A218t38","A218",38,1978,-27.84862535,NA
"40","A218t38","A218",38,1979,-27.64070369,NA
"41","A218t38","A218",38,1980,-27.71970423,NA
"42","A218t38","A218",38,1981,-26.34519185,NA
"43","A218t38","A218",38,1982,-27.79579677,NA
"44","A218t38","A218",38,1983,-28.27706997,NA
"45","A218t38","A218",38,1984,-28.38127313,NA
"46","A218t38","A218",38,1985,-27.1565225,NA
"47","A218t38","A218",38,1986,-28.13215487,NA
"48","A218t38","A218",38,1987,-28.09580494,NA
"49","A218t38","A218",38,1988,-28.94542419,NA
"50","A218t38","A218",38,1989,-27.65185101,NA
"51","A218t38","A218",38,1990,-26.65137951,NA
"52","A218t38","A218",38,1991,-28.50734683,NA
"53","A218t38","A218",38,1992,-28.67376897,NA
"54","A218t38","A218",38,1993,-27.94646727,NA
"55","A218t38","A218",38,1994,-28.22533189,NA
"56","A218t38","A218",38,1995,-28.37139806,NA
"57","A218t38","A218",38,1996,-28.10065159,NA
"58","A218t38","A218",38,1997,-27.31325132,NA
"59","A218t38","A218",38,1998,-28.19019361,NA
"60","A218t38","A218",38,1999,-27.60217276,NA
"61","A218t38","A218",38,2000,-27.7472696,NA
"62","D012t17","D012",17,1970,-22.4089175,"analyzed sample under target weight"
"63","D012t17","D012",17,1971,-23.98838295,NA
"64","D012t17","D012",17,1972,-24.12742147,NA
"65","D012t17","D012",17,1973,-24.03963636,NA
"66","D012t17","D012",17,1974,-23.39060819,NA
"67","D012t17","D012",17,1975,-24.46699048,NA
"68","D012t17","D012",17,1976,-23.50680683,NA
"69","D012t17","D012",17,1977,-23.28622328,NA
"70","D012t17","D012",17,1978,-25.05470842,"analyzed sample under target weight"
"71","D012t17","D012",17,1979,-24.60869466,NA
"72","D012t17","D012",17,1980,-23.99789452,"analyzed sample under target weight"
"73","D012t17","D012",17,1982,-23.47918088,NA
"74","D012t17","D012",17,1983,-23.35649983,NA
"75","D012t17","D012",17,1984,-23.65547809,NA
"76","D012t17","D012",17,1985,-24.96837731,NA
"77","D012t17","D012",17,1986,-24.43760762,NA
"78","D012t17","D012",17,1987,-24.01576657,NA
"79","D012t17","D012",17,1988,-24.21738757,NA
"80","D012t17","D012",17,1989,-23.1011617,NA
"81","D012t17","D012",17,1990,-23.39143617,NA
"82","D012t17","D012",17,1991,-24.92245522,NA
"83","D012t17","D012",17,1992,-24.06601026,NA
"84","D012t17","D012",17,1993,-23.92687077,NA
"85","D012t17","D012",17,1994,-24.93832803,NA
"86","D012t17","D012",17,1995,-24.40563986,NA
"87","D012t17","D012",17,1996,-24.43173104,"analyzed sample under target weight"
"88","D012t17","D012",17,1997,-22.11405891,NA
"89","D012t17","D012",17,1998,-23.08577356,NA
"90","D012t17","D012",17,1999,-22.89622882,NA
"91","D012t17","D012",17,2000,-23.89508477,NA
"92","D012t30","D012",30,1970,-22.0421668,NA
"93","D012t30","D012",30,1971,-22.84134042,NA
"94","D012t30","D012",30,1972,-23.4165984,NA
"95","D012t30","D012",30,1973,-23.04675796,NA
"96","D012t30","D012",30,1974,-22.39871932,NA
"97","D012t30","D012",30,1975,-22.88233507,NA
"98","D012t30","D012",30,1976,-22.99227344,NA
"99","D012t30","D012",30,1977,-23.08476384,NA
"100","D012t30","D012",30,1978,-24.45774144,NA
"101","D012t30","D012",30,1979,-24.18382446,NA
"102","D012t30","D012",30,1980,-23.47370819,NA
"103","D012t30","D012",30,1981,-23.71838368,NA
"104","D012t30","D012",30,1982,-23.16626848,NA
"105","D012t30","D012",30,1983,-23.53211043,NA
"106","D012t30","D012",30,1984,-25.21180074,NA
"107","D012t30","D012",30,1985,-24.8293186,NA
"108","D012t30","D012",30,1986,-24.97609158,NA
"109","D012t30","D012",30,1987,-23.16481449,NA
"110","D012t30","D012",30,1988,-24.54360808,NA
"111","D012t30","D012",30,1989,-23.4632071,NA
"112","D012t30","D012",30,1990,-24.42324939,NA
"113","D012t30","D012",30,1991,-25.14968273,NA
"114","D012t30","D012",30,1992,-25.02698149,NA
"115","D012t30","D012",30,1993,-24.44901746,NA
"116","D012t30","D012",30,1994,-24.78553712,NA
"117","D012t30","D012",30,1995,-25.54468541,NA
"118","D012t30","D012",30,1996,-25.15420628,NA
"119","D012t30","D012",30,1997,-23.04801002,NA
"120","D012t30","D012",30,1998,-24.09698849,NA
"121","D012t30","D012",30,1999,-23.11327835,NA
"122","D012t30","D012",30,2000,-24.55386684,NA
"123","D012t35","D012",35,1970,-24.91558912,"analyzed sample under target weight"
"124","D012t35","D012",35,1971,-24.70072059,NA
"125","D012t35","D012",35,1972,-25.97458403,NA
"126","D012t35","D012",35,1973,-26.01448818,NA
"127","D012t35","D012",35,1974,-24.59651743,"analyzed sample under target weight"
"128","D012t35","D012",35,1975,-25.72401178,NA
"129","D012t35","D012",35,1976,-25.54387763,NA
"130","D012t35","D012",35,1977,-25.64969635,"analyzed sample under target weight"
"131","D012t35","D012",35,1978,-27.00789164,"analyzed sample under target weight"
"132","D012t35","D012",35,1979,-26.320797,NA
"133","D012t35","D012",35,1982,-25.80836383,NA
