"","series_name","dbh_ib_mm"
"1","A218t23",142.1952
"2","A218t29",216.7664
"3","C138t02",116.335
"4","C138t04",134.3456
"5","C138t06",190.274
"6","C138t32",104.9096
"7","D012t17",230.5032
"8","D012t30",265.8264
"9","D012t35",136.308
"10","D017t09",286.744
"11","D017t24",200.086
"12","D017t31",238.3528
"13","D022t01",224.582
"14","D022t04",233.6
"15","D022t20",225.5972
"16","D022t38",361.984
"17","D022t91",217.7476
"18","D953t02",130.817
"19","D953t12",109.487
"20","D953t15",157.8944
"21","D953t29",176.5372
"22","D953t33",180.462
"23","D953t44",129.746
"24","D953t46",159.086
"25","F107t05",187.388
"26","F107t25",221.6724
"27","F107t27",243.2588
"28","F107t30",157.8944
"29","F107t36",193.2176
"30","F107t40",151.262
"31","F109t24",115.282
"32","F109t39",111.778
"33","F109t41",114.7216
"34","F109t59",231.4844
"35","L135t30",100.9848
"36","L135t36",110.7968
"37","L135t49",105.679
"38","L135t56",123.5524
"39","M002t09",148.0824
"40","M002t06",138.2704
"41","M002t13",171.6312
"42","M002t19",160.226
"43","M002t27",199.1048
"44","M002t29",230.5032
"45","M002t30",116.586
"46","M002t31",156.9132
"47","M129t04",224.943
"48","M129t22",207.465
"49","M317t06",187.566
"50","M317t16",161.8192
"51","M317t41",176.5372
"52","M317t43",181.575
"53","M317t45",102.439
"54","M317t46",148.0824
"55","M317t49",156.721
"56","M317t57",130.674
"57","N117t05",161.548
"58","N117t22",158.206
"59","N117t25",129.4396
"60","N117t26",111.778
"61","N117t40",101.966
"62","N117t46",108.707
"63","N117104",104.54
"64","N117107",105.7
"65","N124t19",246.2024
"66","N124t29",424.365
"67","N130t08",237.961
"68","N130t17",254.757
"69","N130t34",238.3528
"70","N142t23",136.89
"71","N142t49",156.334
"72","N142t54",113.895
"73","N307t02",154.062
"74","N307t09",216.274
"75","N307t10",278.582
"76","N307t15",230.5032
"77","N307t17",290.655
"78","N307t24",294.2812
"79","N307t26",122.5712
"80","N424t10",152.849
"81","N424t14",143.1764
"82","N424t23",202
"83","N424t25",183.4056
"84","N424t31",164.554
"85","N424t45",149.0636
"86","N424t50",135.026
"87","N424t51",103.424
"88","N424t52",151.026
"89","N424t54",150.69
"90","S244t04",221.674
